ISO3,Location,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
RWA,Butare/Gitarama,4196787,Women with secondary or higher education,9.1,1,RW,Rwanda,1992,RW1992DHS,ED_EDUC_W_SEH,231203100,I,442006,1442006,Region,Butare/Gitarama,0,,0,1,EDEDUCWSEH,RWDHS1992442006,1992,DHS,1643,1563,,,1
RWA,Butare,5583142,Women with secondary or higher education,9.4,1,RW,Rwanda,1992,RW1992DHS,ED_EDUC_W_SEH,231203100,I,442007,1442007,Region,..Butare,0,,0,1,EDEDUCWSEH,RWDHS1992442007,1992,DHS,773,780,,,
RWA,Gitarama,7622548,Women with secondary or higher education,8.7,1,RW,Rwanda,1992,RW1992DHS,ED_EDUC_W_SEH,231203100,I,442008,1442008,Region,..Gitarama,0,,0,1,EDEDUCWSEH,RWDHS1992442008,1992,DHS,871,783,,,
RWA,Byumba/Kibungo,5157680,Women with secondary or higher education,5.3,1,RW,Rwanda,1992,RW1992DHS,ED_EDUC_W_SEH,231203100,I,442009,1442009,Region,Byumba/Kibungo,0,,0,1,EDEDUCWSEH,RWDHS1992442009,1992,DHS,1084,1010,,,1
RWA,Byumba,6819247,Women with secondary or higher education,6.6,1,RW,Rwanda,1992,RW1992DHS,ED_EDUC_W_SEH,231203100,I,442010,1442010,Region,..Byumba,0,,0,1,EDEDUCWSEH,RWDHS1992442010,1992,DHS,518,498,,,
RWA,Kibungo,4753952,Women with secondary or higher education,4.1,1,RW,Rwanda,1992,RW1992DHS,ED_EDUC_W_SEH,231203100,I,442011,1442011,Region,..Kibungo,0,,0,1,EDEDUCWSEH,RWDHS1992442011,1992,DHS,567,512,,,
RWA,Cyangugu/Ginkongoro,2852281,Women with secondary or higher education,6.5,1,RW,Rwanda,1992,RW1992DHS,ED_EDUC_W_SEH,231203100,I,442013,1442013,Region,Cyangugu/Ginkongoro,0,,0,1,EDEDUCWSEH,RWDHS1992442013,1992,DHS,954,859,,,1
RWA,Cyangugu,7115351,Women with secondary or higher education,5,1,RW,Rwanda,1992,RW1992DHS,ED_EDUC_W_SEH,231203100,I,442014,1442014,Region,..Cyangugu,0,,0,1,EDEDUCWSEH,RWDHS1992442014,1992,DHS,451,406,,,
RWA,Gikongoro,3748399,Women with secondary or higher education,7.9,1,RW,Rwanda,1992,RW1992DHS,ED_EDUC_W_SEH,231203100,I,442015,1442015,Region,..Gikongoro,0,,0,1,EDEDUCWSEH,RWDHS1992442015,1992,DHS,503,453,,,
RWA,Kibuye/Ruhengeri/Gisenyi,7972405,Women with secondary or higher education,5.5,1,RW,Rwanda,1992,RW1992DHS,ED_EDUC_W_SEH,231203100,I,442016,1442016,Region,Kibuye/Ruhengeri/Gisenyi,0,,0,1,EDEDUCWSEH,RWDHS1992442016,1992,DHS,1723,1614,,,1
